time,index_0x,index_0y,index_0z,index_1x,index_1y,index_1z,index_2x,index_2y,index_2z,index_3x,index_3y,index_3z,index_4x,index_4y,index_4z,index_5x,index_5y,index_5z,index_6x,index_6y,index_6z,index_7x,index_7y,index_7z,index_8x,index_8y,index_8z,index_9x,index_9y,index_9z,index_10x,index_10y,index_10z,index_11x,index_11y,index_11z,index_12x,index_12y,index_12z,index_13x,index_13y,index_13z,index_14x,index_14y,index_14z,index_15x,index_15y,index_15z,index_16x,index_16y,index_16z,index_17x,index_17y,index_17z,index_18x,index_18y,index_18z,index_19x,index_19y,index_19z,index_20x,index_20y,index_20z
4.31,0.238037109375,9.375,0.799560546875,2.93426513671875,6.7138671875,0.10986328125,4.5989990234375,4.60205078125,-1.1810302734375,5.1239013671875,1.79290771484375,-3.1219482421875,3.5675048828125,0.396728515625,-4.315185546875,2.423095703125,-0.5615234375,0.152587890625,2.87017822265625,-3.271484375,-0.494384765625,3.08837890625,-4.94384765625,-1.580810546875,3.55224609375,-6.28662109375,-3.7506103515625,0.35247802734375,-0.62255859375,0.20294189453125,0.4428863525390625,-3.86962890625,0.1220703125,0.86669921875,-6.43310546875,-1.0284423828125,1.4923095703125,-8.026123046875,-3.1890869140625,-1.78070068359375,0.1190185546875,0.0,-1.8829345703125,-3.131103515625,-0.189208984375,-1.74560546875,-5.52978515625,-1.42822265625,-1.42822265625,-7.073974609375,-2.862548828125,-2.97088623046875,1.5625,-0.628662109375,-3.8299560546875,-1.0009765625,-0.9368896484375,-4.0557861328125,-3.0914306640625,-1.9866943359375,-3.826904296875,-4.5684814453125,-3.521728515625
4.345,0.18768310546875,9.3505859375,0.8056640625,2.88238525390625,6.7626953125,0.103759765625,4.6142578125,4.6142578125,-1.2176513671875,5.078125,1.83868408203125,-3.1280517578125,3.4942626953125,0.482177734375,-4.302978515625,2.43682861328125,-0.52490234375,0.140380859375,2.8839111328125,-3.3447265625,-0.4730224609375,3.08685302734375,-5.01708984375,-1.483154296875,3.582763671875,-6.38427734375,-3.6590576171875,0.32501220703125,-0.62255859375,0.20751953125,0.432586669921875,-3.86962890625,0.1434326171875,0.81787109375,-6.494140625,-0.9552001953125,1.496124267578125,-8.087158203125,-3.0059814453125,-1.7913818359375,0.1190185546875,-0.03509521484375,-1.8646240234375,-3.192138671875,-0.262451171875,-1.727294921875,-5.55419921875,-1.416015625,-1.43890380859375,-7.1044921875,-2.7587890625,-3.01055908203125,1.59912109375,-0.689697265625,-3.79638671875,-1.0772705078125,-0.946044921875,-3.99169921875,-3.1951904296875,-1.9927978515625,-3.7200927734375,-4.5867919921875,-3.47900390625
4.382,0.18310546875,9.27734375,0.677490234375,2.89764404296875,6.7138671875,0.115966796875,4.632568359375,4.60205078125,-1.03759765625,5.18798828125,1.81732177734375,-2.7923583984375,3.6712646484375,0.506591796875,-3.839111328125,2.423095703125,-0.48828125,0.2685546875,2.8839111328125,-3.3203125,-0.35400390625,3.1585693359375,-4.94384765625,-1.3763427734375,3.6224365234375,-6.28662109375,-3.5736083984375,0.3204345703125,-0.62255859375,0.225830078125,0.4703521728515625,-3.91845703125,0.164794921875,0.9124755859375,-6.43310546875,-0.8880615234375,1.5777587890625,-8.087158203125,-2.9510498046875,-1.79290771484375,0.091552734375,-0.079345703125,-1.8280029296875,-3.216552734375,-0.299072265625,-1.641845703125,-5.5419921875,-1.495361328125,-1.32293701171875,-7.080078125,-2.825927734375,-2.97698974609375,1.55029296875,-0.81787109375,-3.7628173828125,-1.116943359375,-1.1077880859375,-3.89404296875,-3.2196044921875,-2.1575927734375,-3.5888671875,-4.632568359375,-3.60107421875
4.416,0.2197265625,9.3017578125,0.518798828125,2.91900634765625,6.7138671875,0.018310546875,4.6234130859375,4.6142578125,-1.104736328125,5.2001953125,1.85546875,-2.83203125,3.6529541015625,0.50048828125,-3.887939453125,2.4139404296875,-0.531005859375,0.286865234375,2.886962890625,-3.271484375,-0.2716064453125,3.1402587890625,-4.94384765625,-1.275634765625,3.62548828125,-6.35986328125,-3.448486328125,0.341796875,-0.59814453125,0.23193359375,0.484466552734375,-3.86962890625,0.2349853515625,0.9552001953125,-6.4697265625,-0.8758544921875,1.61285400390625,-8.099365234375,-2.9510498046875,-1.78985595703125,0.091552734375,-0.13885498046875,-1.81121826171875,-3.192138671875,-0.262451171875,-1.67083740234375,-5.57861328125,-1.397705078125,-1.3214111328125,-7.18994140625,-2.703857421875,-2.96478271484375,1.5380859375,-0.885009765625,-3.7750244140625,-1.104736328125,-1.1444091796875,-3.9703369140625,-3.2135009765625,-2.1331787109375,-3.6865234375,-4.742431640625,-3.55224609375
4.453,0.16632080078125,9.3017578125,0.543212890625,2.86407470703125,6.73828125,0.048828125,4.6051025390625,4.6142578125,-1.092529296875,5.16357421875,1.861572265625,-2.850341796875,3.5858154296875,0.482177734375,-3.863525390625,2.47344970703125,-0.5126953125,0.29296875,2.9022216796875,-3.2958984375,-0.28076171875,3.1524658203125,-4.91943359375,-1.275634765625,3.6102294921875,-6.31103515625,-3.50341796875,0.33721923828125,-0.59814453125,0.225830078125,0.51727294921875,-3.91845703125,0.2410888671875,0.9796142578125,-6.50634765625,-0.7904052734375,1.66015625,-8.184814453125,-2.83203125,-1.8096923828125,0.067138671875,-0.1220703125,-1.8096923828125,-3.216552734375,-0.250244140625,-1.62353515625,-5.5908203125,-1.409912109375,-1.28173828125,-7.183837890625,-2.7587890625,-3.00750732421875,1.52587890625,-0.9033203125,-3.802490234375,-1.1199951171875,-1.141357421875,-3.9276123046875,-3.2318115234375,-2.1209716796875,-3.5980224609375,-4.7027587890625,-3.533935546875
4.49,0.18310546875,9.326171875,0.506591796875,2.90069580078125,6.73828125,0.048828125,4.6112060546875,4.60205078125,-1.0772705078125,5.1361083984375,1.8402099609375,-2.7587890625,3.5736083984375,0.494384765625,-3.814697265625,2.45361328125,-0.5126953125,0.3173828125,2.8961181640625,-3.3203125,-0.25634765625,3.1707763671875,-4.94384765625,-1.239013671875,3.619384765625,-6.35986328125,-3.41796875,0.3326416015625,-0.59814453125,0.2349853515625,0.4894256591796875,-3.89404296875,0.2288818359375,0.9429931640625,-6.4697265625,-0.8392333984375,1.6204833984375,-8.135986328125,-2.8564453125,-1.78680419921875,0.0823974609375,-0.14190673828125,-1.824951171875,-3.216552734375,-0.29296875,-1.6448974609375,-5.60302734375,-1.397705078125,-1.29241943359375,-7.171630859375,-2.72216796875,-2.97393798828125,1.57470703125,-0.93994140625,-3.7841796875,-1.104736328125,-1.1627197265625,-3.9520263671875,-3.2196044921875,-2.1514892578125,-3.6529541015625,-4.6875,-3.55224609375
4.53,0.19378662109375,9.326171875,0.59814453125,2.89154052734375,6.7626953125,0.09765625,4.5989990234375,4.62646484375,-1.0498046875,5.0994873046875,1.8280029296875,-2.8289794921875,3.5003662109375,0.5126953125,-3.875732421875,2.47802734375,-0.531005859375,0.311279296875,2.89154052734375,-3.2958984375,-0.274658203125,3.1524658203125,-4.94384765625,-1.2847900390625,3.6407470703125,-6.35986328125,-3.45458984375,0.32501220703125,-0.6103515625,0.23040771484375,0.50201416015625,-3.96728515625,0.2349853515625,0.9735107421875,-6.48193359375,-0.8514404296875,1.65252685546875,-8.148193359375,-2.89306640625,-1.7974853515625,0.09765625,-0.1312255859375,-1.80511474609375,-3.204345703125,-0.238037109375,-1.629638671875,-5.5908203125,-1.458740234375,-1.28173828125,-7.159423828125,-2.777099609375,-3.00140380859375,1.52587890625,-0.885009765625,-3.7841796875,-1.0650634765625,-1.15966796875,-3.9154052734375,-3.1829833984375,-2.1697998046875,-3.61328125,-4.6630859375,-3.5888671875
4.593,0.18768310546875,9.27734375,0.555419921875,2.89459228515625,6.73828125,0.103759765625,4.620361328125,4.6142578125,-1.06201171875,5.108642578125,1.8402099609375,-2.8045654296875,3.5003662109375,0.482177734375,-3.851318359375,2.47802734375,-0.469970703125,0.347900390625,2.8900146484375,-3.2958984375,-0.262451171875,3.1829833984375,-4.89501953125,-1.2603759765625,3.69873046875,-6.28662109375,-3.485107421875,0.3265380859375,-0.6103515625,0.23956298828125,0.5016326904296875,-3.91845703125,0.2532958984375,0.9429931640625,-6.4697265625,-0.7965087890625,1.63726806640625,-8.148193359375,-2.850341796875,-1.7822265625,0.091552734375,-0.1495361328125,-1.788330078125,-3.204345703125,-0.274658203125,-1.62200927734375,-5.60302734375,-1.458740234375,-1.2664794921875,-7.171630859375,-2.783203125,-2.96783447265625,1.513671875,-0.93994140625,-3.753662109375,-1.092529296875,-1.18408203125,-3.8604736328125,-3.2379150390625,-2.2064208984375,-3.5064697265625,-4.6875,-3.619384765625
4.662,0.2197265625,9.3505859375,0.421142578125,2.90069580078125,6.73828125,0.0,4.58984375,4.55322265625,-1.1077880859375,5.0628662109375,1.708984375,-2.7862548828125,3.4820556640625,0.360107421875,-3.826904296875,2.45819091796875,-0.506591796875,0.323486328125,2.91900634765625,-3.2958984375,-0.1953125,3.1982421875,-4.99267578125,-1.220703125,3.7353515625,-6.33544921875,-3.3782958984375,0.347900390625,-0.59814453125,0.23651123046875,0.485992431640625,-3.89404296875,0.2532958984375,0.9674072265625,-6.5185546875,-0.7781982421875,1.6265869140625,-8.184814453125,-2.825927734375,-1.81121826171875,0.1068115234375,-0.16021728515625,-1.81427001953125,-3.240966796875,-0.250244140625,-1.64642333984375,-5.6640625,-1.373291015625,-1.2725830078125,-7.257080078125,-2.642822265625,-2.99224853515625,1.4892578125,-0.96435546875,-3.7811279296875,-1.1077880859375,-1.1383056640625,-3.96728515625,-3.3111572265625,-2.1087646484375,-3.6956787109375,-4.833984375,-3.472900390625
4.699,0.19683837890625,9.2529296875,0.45166015625,2.90679931640625,6.7138671875,-0.030517578125,4.571533203125,4.50439453125,-1.141357421875,5.084228515625,1.69525146484375,-2.8350830078125,3.5491943359375,0.262451171875,-3.851318359375,2.4932861328125,-0.494384765625,0.30517578125,2.89764404296875,-3.2958984375,-0.2685546875,3.1402587890625,-4.91943359375,-1.312255859375,3.6895751953125,-6.28662109375,-3.5614013671875,0.35552978515625,-0.59814453125,0.23651123046875,0.4894256591796875,-3.89404296875,0.2532958984375,0.970458984375,-6.494140625,-0.8575439453125,1.61590576171875,-8.172607421875,-2.9266357421875,-1.81732177734375,0.0946044921875,-0.14190673828125,-1.84478759765625,-3.216552734375,-0.225830078125,-1.66778564453125,-5.6640625,-1.422119140625,-1.28326416015625,-7.244873046875,-2.7587890625,-3.02581787109375,1.47705078125,-0.946044921875,-3.8116455078125,-1.13525390625,-1.1322021484375,-3.961181640625,-3.2989501953125,-2.0843505859375,-3.680419921875,-4.7943115234375,-3.472900390625
4.73,0.2227783203125,9.228515625,0.48828125,2.90679931640625,6.6650390625,0.018310546875,4.583740234375,4.45556640625,-1.123046875,5.126953125,1.65252685546875,-2.8106689453125,3.6407470703125,0.1953125,-3.948974609375,2.45208740234375,-0.5126953125,0.341796875,2.88848876953125,-3.3203125,-0.2716064453125,3.1219482421875,-4.96826171875,-1.3702392578125,3.680419921875,-6.33544921875,-3.64990234375,0.35247802734375,-0.6103515625,0.250244140625,0.4695892333984375,-3.89404296875,0.2227783203125,0.9307861328125,-6.4697265625,-0.8880615234375,1.58233642578125,-8.148193359375,-3.094482421875,-1.78985595703125,0.1251220703125,-0.13580322265625,-1.8280029296875,-3.204345703125,-0.28076171875,-1.70135498046875,-5.65185546875,-1.4404296875,-1.35040283203125,-7.183837890625,-2.8076171875,-2.99530029296875,1.47705078125,-0.921630859375,-3.80859375,-1.1260986328125,-1.1627197265625,-3.9764404296875,-3.2623291015625,-2.1209716796875,-3.7841796875,-4.7821044921875,-3.50341796875
4.766,0.201416015625,9.2529296875,0.79345703125,2.90069580078125,6.6162109375,0.164794921875,4.5623779296875,4.47998046875,-1.190185546875,5.1483154296875,1.76239013671875,-3.1219482421875,3.6956787109375,0.213623046875,-4.437255859375,2.4658203125,-0.567626953125,0.213623046875,2.82440185546875,-3.3447265625,-0.445556640625,3.04107666015625,-4.99267578125,-1.5625,3.62548828125,-6.31103515625,-3.9337158203125,0.33721923828125,-0.6103515625,0.2197265625,0.4364013671875,-3.89404296875,0.1617431640625,0.836181640625,-6.494140625,-0.9979248046875,1.51824951171875,-8.111572265625,-3.2623291015625,-1.78985595703125,0.13427734375,-0.07171630859375,-1.85394287109375,-3.204345703125,-0.244140625,-1.751708984375,-5.615234375,-1.47705078125,-1.3763427734375,-7.147216796875,-2.94189453125,-3.01055908203125,1.5625,-0.787353515625,-3.8543701171875,-1.068115234375,-1.0162353515625,-4.0191650390625,-3.1951904296875,-2.0233154296875,-3.7506103515625,-4.693603515625,-3.52783203125
4.802,0.14495849609375,9.1796875,0.518798828125,2.89459228515625,6.591796875,0.0,4.595947265625,4.52880859375,-1.20849609375,5.2947998046875,1.8646240234375,-2.9815673828125,4.0252685546875,0.09765625,-4.254150390625,2.44140625,-0.531005859375,0.3173828125,2.8472900390625,-3.2470703125,-0.3997802734375,3.10211181640625,-4.89501953125,-1.55029296875,3.668212890625,-6.28662109375,-3.961181640625,0.34942626953125,-0.5859375,0.2410888671875,0.48980712890625,-3.89404296875,0.1922607421875,0.885009765625,-6.45751953125,-0.9979248046875,1.552581787109375,-8.111572265625,-3.2867431640625,-1.7822265625,0.1312255859375,-0.115966796875,-1.81121826171875,-3.204345703125,-0.274658203125,-1.73492431640625,-5.6640625,-1.45263671875,-1.385498046875,-7.232666015625,-2.911376953125,-3.03802490234375,1.52587890625,-0.909423828125,-3.8299560546875,-1.1138916015625,-1.177978515625,-4.022216796875,-3.1646728515625,-2.1148681640625,-3.7139892578125,-4.7332763671875,-3.533935546875
4.84,0.1556396484375,9.1796875,0.286865234375,2.92816162109375,6.591796875,-0.18310546875,4.6234130859375,4.50439453125,-1.3427734375,5.303955078125,1.84326171875,-2.9083251953125,4.1290283203125,-0.030517578125,-4.083251953125,2.46124267578125,-0.469970703125,0.335693359375,2.8900146484375,-3.2470703125,-0.3692626953125,3.1524658203125,-4.87060546875,-1.519775390625,3.69873046875,-6.28662109375,-3.94287109375,0.35552978515625,-0.57373046875,0.25177001953125,0.5229949951171875,-3.86962890625,0.20751953125,0.9307861328125,-6.4697265625,-0.9613037109375,1.5716552734375,-8.111572265625,-3.3355712890625,-1.7852783203125,0.1129150390625,-0.1220703125,-1.8035888671875,-3.192138671875,-0.29296875,-1.72271728515625,-5.67626953125,-1.4892578125,-1.3519287109375,-7.2509765625,-2.978515625,-3.01055908203125,1.4892578125,-0.958251953125,-3.82080078125,-1.1566162109375,-1.220703125,-4.0191650390625,-3.2562255859375,-2.1636962890625,-3.7200927734375,-4.78515625,-3.533935546875
4.904,0.2288818359375,9.2529296875,0.018310546875,2.97698974609375,6.6650390625,-0.42724609375,4.6142578125,4.4921875,-1.470947265625,5.31005859375,1.715087890625,-2.9693603515625,4.2266845703125,-0.244140625,-3.961181640625,2.459716796875,-0.506591796875,0.28076171875,2.88238525390625,-3.2470703125,-0.3997802734375,3.143310546875,-4.87060546875,-1.5228271484375,3.7078857421875,-6.28662109375,-3.936767578125,0.35552978515625,-0.57373046875,0.2716064453125,0.5489349365234375,-3.86962890625,0.2593994140625,0.958251953125,-6.50634765625,-1.0223388671875,1.56707763671875,-8.148193359375,-3.4027099609375,-1.8157958984375,0.1190185546875,-0.10986328125,-1.81427001953125,-3.216552734375,-0.286865234375,-1.73187255859375,-5.67626953125,-1.47705078125,-1.385498046875,-7.244873046875,-3.033447265625,-3.04412841796875,1.4892578125,-0.970458984375,-3.8330078125,-1.165771484375,-1.239013671875,-4.0252685546875,-3.2135009765625,-2.1759033203125,-3.680419921875,-4.74853515625,-3.5400390625
4.935,0.29754638671875,9.1796875,-0.1708984375,3.05328369140625,6.5673828125,-0.537109375,4.669189453125,4.45556640625,-1.5838623046875,5.43212890625,1.7578125,-2.996826171875,4.5440673828125,-0.311279296875,-3.961181640625,2.5146484375,-0.494384765625,0.286865234375,2.89154052734375,-3.22265625,-0.3692626953125,3.155517578125,-4.87060546875,-1.544189453125,3.7933349609375,-6.28662109375,-4.0985107421875,0.34942626953125,-0.57373046875,0.299072265625,0.5123138427734375,-3.84521484375,0.2288818359375,0.9246826171875,-6.4208984375,-1.0406494140625,1.549530029296875,-8.087158203125,-3.533935546875,-1.81427001953125,0.10986328125,-0.091552734375,-1.84173583984375,-3.167724609375,-0.286865234375,-1.7333984375,-5.6640625,-1.52587890625,-1.37939453125,-7.220458984375,-3.155517578125,-3.03802490234375,1.513671875,-1.03759765625,-3.8665771484375,-1.1566162109375,-1.263427734375,-4.01611328125,-3.1829833984375,-2.2369384765625,-3.680419921875,-4.7088623046875,-3.55224609375
